,Suburb_id,Suburb,Postcode,LGA,City,1st Most Common Venue,2nd Most Common Venue,3rd Most Common Venue,4th Most Common Venue,5th Most Common Venue,6th Most Common Venue,7th Most Common Venue,8th Most Common Venue,9th Most Common Venue,10th Most Common Venue
89,89,Burwood,2134,Burwood Council,Sydney,Chinese Restaurant,Supermarket,Gym,Asian Restaurant,Café,Other Nightlife,Vietnamese Restaurant,Fast Food Restaurant,Cantonese Restaurant,Pub
90,90,Burwood Heights,2136,Burwood Council,Sydney,Burger Joint,Park,Pub,Convenience Store,Tennis Court,,,,,
91,91,Busby,2168,City of Liverpool ,Sydney,,,,,,,,,,
92,92,Cabarita,2137,City of Canada Bay,Sydney,Park,Gym / Fitness Center,Beach,,,,,,,
93,93,Cabramatta,2166,City of Fairfield,Sydney,Vietnamese Restaurant,Chinese Restaurant,Bubble Tea Shop,Café,Pizza Place,Bakery,Steakhouse,Fast Food Restaurant,Sandwich Place,Cambodian Restaurant
94,94,Cabramatta West,2166,City of Fairfield,Sydney,Thai Restaurant,Convenience Store,Gastropub,Eastern European Restaurant,,,,,,
95,95,Caddens,2747,Penrith City Council,Sydney,,,,,,,,,,
96,96,Cambridge Gardens,2747,City of Penrith,Sydney,Sandwich Place,Fast Food Restaurant,Pizza Place,Grocery Store,Hotel,,,,,
97,97,Cambridge Park,2747,City of Penrith,Sydney,Performing Arts Venue,Bus Stop,,,,,,,,
98,98,Camden,2570,Camden Council ,Sydney,Café,Supermarket,Pharmacy,Fast Food Restaurant,,,,,,
99,99,Camden South,2570,Camden Council ,Sydney,Zoo,Farm,,,,,,,,
100,100,Cammeray,2062,North Sydney Council,Sydney,Café,Japanese Restaurant,Asian Restaurant,Breakfast Spot,Fruit & Vegetable Store,Sports Bar,Bus Station,Butcher,Thai Restaurant,Gym
101,101,Campbelltown,2560,City of Campbelltown ,Sydney,Bakery,Pet Store,Pub,Fast Food Restaurant,,,,,,
102,102,Camperdown,2050,"City of Sydney, Inner West Council",Sydney,Café,Convenience Store,Brewery,Korean Restaurant,Thai Restaurant,Climbing Gym,Liquor Store,Australian Restaurant,Motorcycle Shop,Donut Shop
103,103,Campsie,2194,Canterbury-Bankstown Council,Sydney,Malay Restaurant,Korean Restaurant,Japanese Restaurant,Vietnamese Restaurant,Department Store,Pizza Place,Pharmacy,Chinese Restaurant,Shopping Mall,Fast Food Restaurant
104,104,Canada Bay,2046,City of Canada Bay,Sydney,Brewery,Playground,Paper / Office Supplies Store,Pharmacy,Gym,Athletics & Sports,Café,Bakery,Football Stadium,Furniture / Home Store
105,105,Canley Heights,2166,City of Fairfield,Sydney,Vietnamese Restaurant,Café,Tapas Restaurant,Bar,Gym,Steakhouse,Grocery Store,Middle Eastern Restaurant,Thai Restaurant,Photography Studio
106,106,Canley Vale,2166,City of Fairfield,Sydney,Vietnamese Restaurant,Chinese Restaurant,Café,Dessert Shop,Pizza Place,Platform,Restaurant,BBQ Joint,Bubble Tea Shop,Train Station
107,107,Canoelands,2157,"The Hills Shire, Hornsby Shire",Sydney,Farm,,,,,,,,,
108,108,Canterbury,2193,Canterbury-Bankstown Council,Sydney,Supermarket,Korean Restaurant,Spa,Café,Fast Food Restaurant,Camera Store,Park,Train Station,Bakery,Platform
109,109,Caringbah South,2229,Sutherland Shire,Sydney,Seafood Restaurant,Smoke Shop,Café,,,,,,,
110,110,Carlingford,2118,City of Parramatta,Sydney,,,,,,,,,,
111,111,Carlton,2218,"Georges River Council, Bayside Council",Sydney,Japanese Restaurant,Gym,Seafood Restaurant,General Entertainment,Dessert Shop,Pet Store,Platform,,,
112,112,Carnes Hill,2171,City of Liverpool ,Sydney,Café,Supermarket,Shopping Mall,Department Store,Fast Food Restaurant,Liquor Store,Pizza Place,,,
113,113,Carramar,2163,City of Fairfield,Sydney,Italian Restaurant,Train Station,Park,Ice Cream Shop,Burger Joint,,,,,
114,114,Carss Park,2221,Georges River Council,Sydney,Other Great Outdoors,Gym / Fitness Center,Roof Deck,Café,,,,,,
115,115,Cartwright,2168,City of Liverpool ,Sydney,Indoor Play Area,Music Venue,Playground,,,,,,,
116,116,Castle Cove,2069,City of Willoughby,Sydney,Park,Athletics & Sports,Golf Course,,,,,,,
117,117,Castle Hill,2154,"The Hills Shire, Hornsby Shire",Sydney,Bar,Restaurant,Chinese Restaurant,Gym / Fitness Center,Diner,Gym,Café,,,
118,118,Castlecrag,2068,City of Willoughby,Sydney,Harbor / Marina,Bay,Playground,,,,,,,
119,119,Castlereagh,2749,City of Penrith,Sydney,,,,,,,,,,
